category,headline,first_paragraph
polit,Trump's Crackdown On Immigrant Parents Puts More Kids In An Already Strained System,"Last month a Health and Human Services official revealed the government was unable to locate nearly 1,500 children who had been released from its custody."
polit,Trump's Son Should Be Concerned': FBI Obtained Wiretaps Of Putin Ally Who Met With Trump Jr.,"The wiretaps feature conversations between Alexander Torshin and Alexander Romanov, a convicted Russian money launderer."
polit,Edward Snowden: There's No One Trump Loves More Than Vladimir Putin,"But don't count on Robert Mueller to nail him, the NSA whistleblower warns."
polit,Booyah: Obama Photographer Hilariously Trolls Trump's 'Spy' Claim,Just a peeping minute.
polit,Ireland Votes To Repeal Abortion Amendment In Landslide Referendum,Irish women will no longer have to travel to the United Kingdom to end their pregnancies.
polit,Ryan Zinke Looks To Reel Back Some Critics With 'Grand Pivot' To Conservation,The interior secretary attempts damage control with hunting and fishing groups that didn’t like his fossil fuel focus.
polit,Trump's Scottish Golf Resort Pays Women Significantly Less Than Men: Report,And there are four times as many male as female executives.
polit,"Jack Johnson Was Pardoned, But Taboo Sex Is Still Being Criminalized",A new law to fight sex trafficking targets some of the people it ostensibly aims to protect.
polit,Bishop Michael Curry Joins Christian March To White House To 'Reclaim Jesus',"For Curry and others, being Christian means rejecting white nationalism and misogyny, while protecting immigrants, refugees and the poor."
polit,How The Chinese Exclusion Act Can Help Us Understand Immigration Politics Today,The Chinese Exclusion Act barely gets mentioned in U.S. history classes. A new PBS documentary from directors Ric Burns and Li-Shin Yu could change that.
polit,Roger Stone Pressed For Damaging Emails About Hillary Clinton From WikiLeaks: Report,"Stone's contact with Julian Assange reportedly told him he couldn't ask WikiLeaks favors ""every other day."""
polit,Publix Suspends Contributions To NRA-Backed Politician Amid Protests,"""Publix knows we're not going away,"" one gun-control activist said."
polit,"Twitter Bots May Have Delivered Donald Trump's Victory, Research Paper Says","“Our results suggest that, given narrow margins of victories in each vote, bots’ effect was likely marginal but possibly large enough to affect the outcomes."""
polit,A Member Of The Far-Right Proud Boys Menaced A Twitter User On His Doorstep,"A videographer made fun of the far-right extremist group online, so they showed up at his house."
polit,All The Things The NRA Has Blamed For The Texas School Shooting,Godlessness. Too many doors in schools. Ritalin. Guess what's not on the list?
polit,Here's What Happens When A Catholic Hospital Won't Try To Save You,Catholic hospital systems are pushing Trump to expand “conscience rights” – even though faith-based medicine has nearly killed some of their patients.
polit,Trump's New Executive Orders Make It Easier To Fire Federal Workers,Unions denounced the president's actions an “assault on democracy.”
polit,Michelle Obama Reveals Cover For Upcoming Memoir 'Becoming',"""The process of writing this book has been so personally meaningful and illuminating for me."""
polit,Trump Roasted For Rushing To Defend Tomi Lahren While Ignoring Real Victims,"""Trump's more concerned about Tomi Lahren being splashed with water than Flint still being entirely without safe water."""
polit,Trump Abruptly Cancels North Korea Summit With Kim Jong Un,Trump cited North Korea’s “tremendous anger and open hostility” in calling off the June 12 Singapore meeting.
